,date,customer_id,product_id,quantity,unit_price,revenue,marketing_campaign
65,2021-03-07,316,45,2,13.33,26.66,False
66,2021-03-08,378,23,4,63.66,254.64,False
67,2021-03-09,387,47,3,30.7,92.1,False
68,2021-03-10,404,31,5,20.85,104.25,False
69,2021-03-11,46,11,8,16.93,135.44,False
70,2021-03-12,15,10,4,72.67,290.68,False
71,2021-03-13,153,67,1,40.59,40.59,False
72,2021-03-14,222,14,3,75.23,225.69,False
73,2021-03-15,206,80,0,15.88,0.0,False
74,2021-03-16,455,74,0,38.38,0.0,False
75,2021-03-17,273,93,2,58.55,117.1,False
76,2021-03-18,382,10,4,81.17,324.68,False
77,2021-03-19,236,76,1,38.69,38.69,False
78,2021-03-20,340,94,5,66.33,331.65,False
79,2021-03-21,228,1,3,89.74,269.21999999999997,False
80,2021-03-22,9,5,0,65.43,0.0,False
81,2021-03-23,166,20,4,30.97,123.88,False
82,2021-03-24,432,8,1,12.2,12.2,False
83,2021-03-25,444,43,6,88.31,529.86,False
84,2021-03-26,319,76,3,11.91,35.730000000000004,False
85,2021-03-27,214,1,1,88.72,88.72,False
86,2021-03-28,117,57,1,57.6,57.6,False
87,2021-03-29,386,64,0,94.52,0.0,False
88,2021-03-30,344,84,3,81.89,245.67000000000002,False
89,2021-03-31,72,28,2,99.81,199.62,False
90,2021-04-01,395,37,4,41.56,166.24,False
91,2021-04-02,64,47,5,79.05,395.25,False
92,2021-04-03,205,76,1,46.17,46.17,False
93,2021-04-04,209,37,0,53.19,0.0,False
94,2021-04-05,72,49,5,66.48,332.40000000000003,False
95,2021-04-06,277,44,5,88.63,443.15,False
96,2021-04-07,274,56,1,98.57,98.57,False
97,2021-04-08,478,28,0,79.14,0.0,False
98,2021-04-09,320,79,2,47.6,95.2,False
99,2021-04-10,338,6,2,47.92,95.84,False
100,2021-04-11,366,61,2,76.38,152.76,False
101,2021-04-12,495,20,6,31.49,188.94,False
102,2021-04-13,95,78,6,19.94,119.64000000000001,False
103,2021-04-14,166,2,5,41.92,209.60000000000002,False
104,2021-04-15,32,73,5,35.85,179.25,False
105,2021-04-16,11,37,0,36.67,0.0,False
106,2021-04-17,301,20,2,31.02,62.04,False
107,2021-04-18,217,26,5,13.79,68.94999999999999,False
108,2021-04-19,289,29,5,11.61,58.05,False
109,2021-04-20,102,1,1,98.9,98.9,False
110,2021-04-21,425,35,4,48.5,194.0,False
111,2021-04-22,392,70,3,44.59,133.77,False
112,2021-04-23,267,59,2,71.17,142.34,False
113,2021-04-24,214,69,2,29.64,59.28,False
114,2021-04-25,179,33,2,95.5,191.0,False
115,2021-04-26,88,51,6,80.77,484.62,False
116,2021-04-27,41,78,4,18.05,72.2,False
117,2021-04-28,401,12,1,47.58,47.58,False
118,2021-04-29,76,20,1,89.12,89.12,False
119,2021-04-30,377,53,1,95.03,95.03,False
120,2021-05-01,46,88,5,52.07,260.35,False
121,2021-05-02,160,43,3,65.21,195.63,False
122,2021-05-03,463,98,1,25.03,25.03,False
123,2021-05-04,80,89,3,99.21,297.63,False
124,2021-05-05,310,50,6,30.85,185.10000000000002,False
125,2021-05-06,86,29,2,94.85,189.7,False
126,2021-05-07,92,57,5,68.47,342.35,False
127,2021-05-08,148,39,2,64.7,129.4,False
128,2021-05-09,161,95,1,56.14,56.14,False
129,2021-05-10,202,56,7,30.76,215.32000000000002,False
130,2021-05-11,424,43,8,25.89,207.12,False
131,2021-05-12,416,50,0,29.84,0.0,False
132,2021-05-13,242,23,3,26.78,80.34,False
133,2021-05-14,353,44,6,80.16,480.96,False
134,2021-05-15,2,38,1,41.51,41.51,False
135,2021-05-16,225,84,9,15.21,136.89000000000001,False
136,2021-05-17,289,23,3,97.22,291.65999999999997,False
137,2021-05-18,233,45,3,89.54,268.62,False
138,2021-05-19,461,52,6,93.5,561.0,False
139,2021-05-20,414,80,2,99.54,199.08,False
140,2021-05-21,417,50,0,25.65,0.0,False
141,2021-05-22,77,8,4,45.66,182.64,False
142,2021-05-23,116,85,0,78.24,0.0,False
143,2021-05-24,154,1,3,72.64,217.92000000000002,False
144,2021-05-25,406,8,5,23.85,119.25,False
145,2021-05-26,103,29,5,83.42,417.1,False
146,2021-05-27,194,96,4,30.2,120.8,False
147,2021-05-28,166,5,1,30.14,30.14,False
148,2021-05-29,359,86,1,58.33,58.33,False
149,2021-05-30,90,47,1,63.36,63.36,False
150,2021-05-31,174,34,2,62.21,124.42,False
151,2021-06-01,122,65,3,18.23,54.69,False
152,2021-06-02,498,55,1,88.97,88.97,False
153,2021-06-03,143,90,1,33.9,33.9,False
154,2021-06-04,482,43,1,21.66,21.66,False
155,2021-06-05,106,74,2,89.99,179.98,False
156,2021-06-06,375,30,3,96.01,288.03000000000003,False
157,2021-06-07,428,82,2,87.59,175.18,False
158,2021-06-08,305,17,2,82.86,165.72,False
159,2021-06-09,360,26,3,68.97,206.91,False
160,2021-06-10,459,8,2,59.58,119.16,False
161,2021-06-11,317,47,4,17.83,71.32,False
162,2021-06-12,451,76,4,46.76,187.04,False
163,2021-06-13,123,91,1,43.54,43.54,False
164,2021-06-14,390,72,2,33.38,66.76,False
165,2021-06-15,9,89,1,75.11,75.11,False
166,2021-06-16,262,46,2,54.63,109.26,False
167,2021-06-17,73,68,3,17.29,51.87,False
168,2021-06-18,359,33,2,29.82,59.64,False
169,2021-06-19,223,1,4,71.49,285.96,False
170,2021-06-20,416,19,3,16.85,50.550000000000004,False
171,2021-06-21,41,31,4,86.61,346.44,False
172,2021-06-22,370,80,1,54.56,54.56,False
173,2021-06-23,204,14,1,53.25,53.25,False
174,2021-06-24,264,53,1,63.32,63.32,False
175,2021-06-25,328,48,2,84.22,168.44,False
176,2021-06-26,178,69,2,41.3,82.6,False
177,2021-06-27,348,90,5,71.02,355.09999999999997,False
178,2021-06-28,318,62,5,60.92,304.6,False
179,2021-06-29,84,92,2,34.03,68.06,False
180,2021-06-30,318,66,2,89.08,178.16,False
181,2021-07-01,111,64,3,81.77,245.31,False
182,2021-07-02,251,70,2,69.26,138.52,False
183,2021-07-03,383,63,1,86.55,86.55,False
184,2021-07-04,7,73,2,88.06,176.12,False
185,2021-07-05,459,33,5,73.75,368.75,False
186,2021-07-06,84,41,5,85.33,426.65,False
187,2021-07-07,208,89,3,72.77,218.31,False
188,2021-07-08,388,48,4,71.21,284.84,False
189,2021-07-09,390,13,1,65.68,65.68,False
190,2021-07-10,314,73,3,77.74,233.21999999999997,False
191,2021-07-11,22,77,4,24.27,97.08,False
192,2021-07-12,410,31,3,89.28,267.84000000000003,False
193,2021-07-13,383,75,3,88.47,265.40999999999997,False
194,2021-07-14,3,68,3,12.63,37.89,False
195,2021-07-15,127,98,3,84.32,252.95999999999998,False
196,2021-07-16,297,4,5,21.6,108.0,False
197,2021-07-17,188,19,3,40.16,120.47999999999999,False
198,2021-07-18,362,70,5,76.92,384.6,False
199,2021-07-19,14,98,2,24.47,48.94,False
200,2021-07-20,459,82,12,83.62,1003.44,True
201,2021-07-21,466,13,15,84.89,1273.35,True
202,2021-07-22,12,23,13,55.67,723.71,True
203,2021-07-23,87,83,13,10.57,137.41,True
204,2021-07-24,12,75,13,35.83,465.78999999999996,True
205,2021-07-25,397,1,16,65.52,1048.32,True
206,2021-07-26,25,88,16,98.31,1572.96,True
207,2021-07-27,301,54,13,66.86,869.18,True
208,2021-07-28,243,71,15,33.38,500.70000000000005,True
209,2021-07-29,122,89,12,67.06,804.72,True
210,2021-07-30,147,85,14,58.6,820.4,True
211,2021-07-31,55,15,13,80.19,1042.47,True
212,2021-08-01,238,65,12,19.63,235.56,True
213,2021-08-02,356,76,14,78.49,1098.86,True
214,2021-08-03,173,71,11,58.71,645.8100000000001,True
215,2021-08-04,392,15,13,96.67,1256.71,True
216,2021-08-05,221,21,11,40.77,448.47,True
217,2021-08-06,119,19,13,66.94,870.22,True
218,2021-08-07,309,60,13,93.88,1220.44,True
219,2021-08-08,183,93,11,19.23,211.53,True
220,2021-08-09,288,89,12,94.35,1132.1999999999998,True
221,2021-08-10,307,33,14,71.91,1006.74,True
222,2021-08-11,300,49,12,16.11,193.32,True
223,2021-08-12,82,96,15,37.09,556.35,True
224,2021-08-13,454,35,10,73.74,737.4,True
225,2021-08-14,402,44,13,16.06,208.77999999999997,True
226,2021-08-15,211,90,12,62.4,748.8,True
227,2021-08-16,150,11,10,41.13,411.3,True
228,2021-08-17,37,99,12,65.88,790.56,True
229,2021-08-18,352,72,12,14.12,169.44,True
230,2021-08-19,312,78,14,88.44,1238.1599999999999,True
231,2021-08-20,361,74,12,97.61,1171.32,True
232,2021-08-21,59,66,11,97.2,1069.2,True
233,2021-08-22,131,46,11,77.47,852.17,True
234,2021-08-23,412,9,10,21.71,217.10000000000002,True
235,2021-08-24,202,3,12,78.24,938.8799999999999,True
236,2021-08-25,243,85,14,12.21,170.94,True
237,2021-08-26,35,26,13,11.99,155.87,True
238,2021-08-27,445,72,15,39.12,586.8,True
239,2021-08-28,93,48,15,53.98,809.6999999999999,True
240,2021-08-29,438,66,13,79.34,1031.42,True
241,2021-08-30,447,70,14,71.5,1001.0,True
242,2021-08-31,207,28,11,50.13,551.4300000000001,True
243,2021-09-01,353,93,13,34.63,450.19000000000005,True
244,2021-09-02,391,26,14,99.74,1396.36,True
245,2021-09-03,332,25,14,48.36,677.04,True
246,2021-09-04,305,12,13,50.62,658.06,True
247,2021-09-05,350,5,12,24.73,296.76,True
248,2021-09-06,213,98,12,81.53,978.36,True
249,2021-09-07,159,48,13,72.43,941.5900000000001,True
